heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,scenario,seed,agent,days,decide_every,sensor_noise_mult,n_particles
13.53132847945967,0.0,10.237599491585698,19.67388817441109,0.0,0.0,19.67388817441109,41.11384622732832,0.011603584377851806,1.0,0.24816945570970683,-0.09597552481547048,0.0033285904122643552,0.8076923076923077,0.12599423076923078,0,0.0,0,0,0,0,0,24,,0.0,fever_hot,0,shadow_only,1,4,1.0,50
9.827507001540145,0.0,9.394341095391837,15.464111658775247,0.0,0.0,15.464111658775247,40.60789553743367,0.009885954203588732,1.0,0.1558611057887333,-0.022785576852668302,0.0018507589447767062,0.9038461538461539,0.12869711538461537,0,0.0,0,0,0,0,0,24,,0.0,fever_hot,1,shadow_only,1,4,1.0,50
11.605757843187611,0.0,9.955100207978665,17.57881796797481,0.0,0.0,17.57881796797481,40.800089963104995,0.011497827840723281,1.0,0.20100074137674115,-0.05423705867627019,0.003908238908847526,0.8173076923076923,0.13135384615384615,0,0.0,0,0,0,0,0,24,,0.0,fever_hot,2,shadow_only,1,4,1.0,50
11.432312557453965,0.0,9.593003087691264,17.188114410068724,0.0,0.0,17.188114410068724,40.74951528247922,0.01148350438567891,1.0,0.3016035839046836,-0.11518400760059813,0.0030526430775915875,0.7980769230769231,0.130975,0,0.0,0,0,0,0,0,24,,0.0,fever_hot,3,shadow_only,1,4,1.0,50
14.518051890439951,0.0,10.338758378956646,20.721306917813937,0.0,0.0,20.721306917813937,41.023377382956596,0.009649680185462568,1.0,0.27545812203677783,-0.09984919739726959,0.0027154334536220594,0.75,0.1243153846153846,0,0.0,0,0,0,0,0,24,,0.0,fever_hot,4,shadow_only,1,4,1.0,50
9.371646113883797,0.0,9.295405934868285,14.948889674804768,0.0,0.0,14.948889674804768,40.768159642168825,0.009827997017696946,1.0,0.23254123787788347,-0.0754258942920008,0.003556704158235533,0.8461538461538461,0.13106346153846155,0,0.0,0,0,0,0,0,24,,0.0,fever_hot,5,shadow_only,1,4,1.0,50
11.173197119207735,0.0,9.792667901085085,17.048797859858787,0.0,0.0,17.048797859858787,40.728841938502974,0.00998988697362177,1.0,0.28160352091950747,-0.12781777253884516,0.005391836904496882,0.8461538461538461,0.1336798076923077,0,0.0,0,0,0,0,0,24,,0.0,fever_hot,6,shadow_only,1,4,1.0,50
12.305043597664064,0.0,10.083634253726274,18.355224149899826,0.0,0.0,18.355224149899826,40.820237233902745,0.01180709822891036,1.0,0.18565460776112783,-0.06857229930660874,0.00318108903817953,0.8365384615384616,0.1279605769230769,0,0.0,0,0,0,0,0,24,,0.0,fever_hot,7,shadow_only,1,4,1.0,50
13.381005359780465,0.0,9.994716366378281,19.377835179607434,0.0,0.0,19.377835179607434,40.961066477201115,0.01318659922568839,1.0,0.19302061420105696,-0.015412976363480269,0.004003028881966501,0.9230769230769231,0.13521826923076924,0,0.0,0,0,0,0,0,24,,0.0,fever_hot,8,shadow_only,1,4,1.0,50
10.24219215112929,0.0,9.469782598465766,15.92406171020875,0.0,0.0,15.92406171020875,40.7032947230204,0.010916938507162598,1.0,0.1514093945584717,-0.04483546745231859,0.002735409528075089,0.8942307692307693,0.1269673076923077,0,0.0,0,0,0,0,0,24,,0.0,fever_hot,9,shadow_only,1,4,1.0,50
