heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,llm_episodes,llm_tool_calls,llm_no_action_epochs,llm_invalid_action_epochs,llm_api_errors,llm_in_tokens,llm_out_tokens,llm_est_cost_usd,scenario,seed,agent,days,decide_every,sensor_noise_mult,model,wall_s
8.676520934465078,0.0,7.076642681218223,12.922506543196011,1.52,0.12,14.56250654319601,40.97831028650421,0.01161048324201719,0.3412500000000003,0.17268091594385024,-0.039428289218954034,0.0021824533999472815,0.8942307692307693,0.1363269230769231,1,7.0,2,0,24,0,0,71,0.25,6.25,24,71,0,0,0,98856,2768,0.044,fever_hot,0,llm_react[gpt-4.1-mini],1,4,1.0,gpt-4.1-mini,63.2
2.650862772890777,0.0,5.258919885498529,5.806214704189895,1.27,0.0,7.076214704189894,40.28168027666146,0.009085260433011838,0.2079015585746432,0.13673522866448742,-0.0015841702331262407,0.001629083824986667,0.9326923076923077,0.13872884615384615,0,12.0,1,0,24,0,0,50,0.75,8.0,24,50,0,0,0,81318,7262,0.0788,fever_hot,0,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,131.6
1.2720782257207723,0.0,2.3515632439878704,2.6830161721134944,1.33,0.0,4.0130161721134945,40.02437508251485,0.008931610896017805,0.01964302414642487,0.12174422430198661,-0.0023377979882012777,0.0012339125071636895,0.9711538461538461,0.13307884615384616,0,13.0,1,0,24,0,0,64,0.25,7.25,24,53,11,0,0,107608,19390,0.4072,fever_hot,0,llm_react[gpt-5],1,4,1.0,gpt-5,267.5
