heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,llm_episodes,llm_tool_calls,llm_no_action_epochs,llm_invalid_action_epochs,llm_api_errors,llm_in_tokens,llm_out_tokens,llm_est_cost_usd,scenario,seed,agent,days,decide_every,sensor_noise_mult,model,wall_s
0.13800153359111178,0.0,0.0,0.13800153359111178,0.48,0.0,0.6180015335911118,39.47330066583636,0.00649806944634782,0.0,0.09573708991644288,0.04484640762378074,0.0016763946841753246,1.0,0.13425192307692307,0,8.0,0,0,24,1,2,80,0.0,7.75,24,80,0,0,0,97744,2847,0.5928,sensor_fault,2,llm_react[gpt-4.1-mini],1,4,1.0,gpt-4.1-mini,60.6
1.7784267561848655,0.0,4.171877964258362,4.281553534739883,1.1,0.0,5.381553534739883,40.011265428021694,0.007347678884156164,0.17063471590167634,0.1966155333256584,0.018648252029636936,0.001746586790779433,0.8846153846153846,0.14359423076923078,0,0.0,2,0,24,0,0,63,0.25,0.0,24,63,0,0,0,74889,2586,0.6943,fever,1,llm_react[gpt-4.1-mini],1,4,1.0,gpt-4.1-mini,52.7
2.6995040346260453,0.0,5.230845094855329,5.838011091539243,1.1,0.0,6.938011091539243,40.0596070854921,0.007410365299129057,0.21375000000000033,0.1610532193615989,-0.0004740446057773795,0.0018340154216204033,0.9711538461538461,0.14255096153846153,0,0.0,2,0,24,0,1,65,0.25,0.0,24,65,0,0,0,74885,2702,0.7762,fever,2,llm_react[gpt-4.1-mini],1,4,1.0,gpt-4.1-mini,56.3
2.303699329409241,0.0,5.256222274615612,5.457432694178609,2.43,0.0,7.887432694178608,40.5048129118243,0.008553287929139905,0.19250000000000034,0.15162215711366717,-0.0113444342203154,0.0018457766270410958,0.9326923076923077,0.13688461538461538,0,13.0,3,0,24,0,0,67,0.0,8.0,24,67,0,0,0,96019,2674,0.8215,fever_hot,0,llm_react[gpt-4.1-mini],1,4,1.0,gpt-4.1-mini,63.2
1.8028848777322093,0.0,3.7111419098894465,4.029570023665877,1.33,0.0,5.359570023665877,40.35089838962016,0.008731138658226435,0.1648197471306807,0.15821162229020624,-0.00530221697208046,0.0015708347116825483,0.9615384615384616,0.1384826923076923,0,13.0,1,0,24,0,0,71,0.5,7.75,24,71,0,0,0,93002,2717,0.8233,fever_hot,1,llm_react[gpt-4.1-mini],1,4,1.0,gpt-4.1-mini,60.8
1.7543523801306335,0.0,4.666100439095921,4.554012643588186,1.6300000000000001,0.0,6.1840126435881855,40.375676930361614,0.0077234687276263175,0.22114380907184883,0.20182037116254056,-0.020718708260979487,0.0026083345140705547,0.9038461538461539,0.14433653846153846,0,18.0,1,0,24,1,2,73,0.0,12.5,24,73,0,0,0,93453,2807,0.8349,fever_hot,2,llm_react[gpt-4.1-mini],1,4,1.0,gpt-4.1-mini,60.5
0.052412875961023175,2.712151753223871,0.0,2.764564629184894,1.035,0.0,3.7995646291848937,39.31921835863197,0.035892755474531246,0.0,0.13093001230214488,0.06427630703011261,0.009245006215052153,0.9903846153846154,0.14029134615384614,0,17.25,0,0,24,0,0,80,0.0,15.25,24,80,0,0,0,104415,2897,0.8466,combined,1,llm_react[gpt-4.1-mini],1,4,1.0,gpt-4.1-mini,63.6
0.0,1.890325844370132,0.0,1.890325844370132,1.02,0.0,2.9103258443701323,38.95056862514133,0.032540382959946906,0.0,0.12191066867418136,0.08146902185561923,0.007806377082578025,1.0,0.14364326923076923,0,17.0,0,0,24,1,0,83,,17.0,24,83,0,0,0,102557,2937,0.8715,combined,2,llm_react[gpt-4.1-mini],1,4,1.0,gpt-4.1-mini,64.5
0.4058132383994817,2.2105438331364398,0.0,2.6163570715359215,0.6599999999999999,0.0,3.276357071535921,39.5867381686194,0.03385303306431832,0.0,0.12701500894602882,0.05865799665277622,0.006970416522202623,0.9807692307692307,0.13972211538461538,0,11.0,0,0,24,0,0,71,0.0,9.75,24,71,0,0,0,100695,2865,0.8771,combined,0,llm_react[gpt-4.1-mini],1,4,1.0,gpt-4.1-mini,95.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99294830393459,0.00774656219749602,0.0,0.1365060228633326,0.030832284938401067,0.0014861451274699536,0.9519230769230769,0.1333019230769231,0,0.0,0,0,24,0,0,48,,0.0,24,48,0,0,0,76410,4663,1.0651,normal,2,llm_react[gpt-5-mini],1,4,1.0,gpt-5-mini,104.6
