heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,scenario,seed,agent,days,decide_every,sensor_noise_mult,latency_steps,exec_success_p
0.2134685504498215,0.0,0.0,0.2134685504498215,0.6,0.0,0.8134685504498215,39.422962225659354,0.007644079981729744,0.0,0.07488358495212002,0.033469806047404675,0.0011006052611890905,1.0,0.12690096153846156,0,10.0,0,0,4,0,0,28,0.75,9.75,heat,0,threshold,1,4,1.0,0,1.0
0.27396386873729384,0.0,0.0,0.27396386873729384,0.54,0.0,0.8139638687372939,39.52842368479324,0.008311313177016253,0.0,0.07797648250837463,0.03335795207027026,0.001453537882006159,1.0,0.12792115384615382,0,9.0,0,0,4,0,0,28,0.75,8.25,heat,1,threshold,1,4,1.0,0,1.0
0.09983356622934814,0.0,0.0,0.09983356622934814,0.6599999999999999,0.0,0.7598335662293481,39.40834194097993,0.00660377633121444,0.0,0.08193993464302222,0.0477364765300463,0.001458430844700315,1.0,0.1261548076923077,0,11.0,0,0,3,1,0,27,0.75,10.75,heat,2,threshold,1,4,1.0,0,1.0
0.294497437450433,0.0,0.0,0.294497437450433,0.6,0.0,0.894497437450433,39.60502973392488,0.007272574598487272,0.0,0.08521028474112952,0.02090472737514871,0.0017393739307085148,1.0,0.12502884615384616,0,10.0,0,0,4,0,0,28,0.5,9.0,heat,3,threshold,1,4,1.0,0,1.0
0.3257334401940941,0.0,0.0,0.3257334401940941,0.7599999999999999,0.0,1.085733440194094,39.408475048255,0.00812577435182586,0.0,0.09354656618265254,0.03851969681172644,0.0014083864436698174,0.9903846153846154,0.12839230769230767,0,11.0,0,1,6,1,0,30,0.25,9.75,heat,4,threshold,1,4,1.0,0,1.0
0.365463261388415,0.0,0.0,0.365463261388415,0.52,0.0,0.885463261388415,39.57830839088747,0.007239866062049686,0.0,0.07145960747814119,0.027093787559945275,0.0015610049910467412,1.0,0.12796826923076923,0,7.0,0,1,7,0,0,31,0.25,5.75,heat,5,threshold,1,4,1.0,0,1.0
0.09298328316265092,0.0,0.0,0.09298328316265092,0.6,0.0,0.6929832831626509,39.43156478542871,0.007272761602163448,0.0,0.06252239857150838,0.03019162489862272,0.0014731862780931913,1.0,0.12474326923076921,0,10.0,0,0,4,0,0,28,0.0,9.5,heat,6,threshold,1,4,1.0,0,1.0
0.050894273068919915,0.0,0.0,0.050894273068919915,0.6,0.0,0.6508942730689199,39.39931863932411,0.007515546965729836,0.0,0.06909414970077359,0.03381577977289997,0.0017483891402918787,1.0,0.1258201923076923,0,10.0,0,0,6,0,0,30,0.25,9.75,heat,7,threshold,1,4,1.0,0,1.0
0.06533022445743697,0.0,0.0,0.06533022445743697,0.6599999999999999,0.0,0.7253302244574369,39.36079184770998,0.010342283265567,0.0,0.07289445898973387,0.04493324467034544,0.0023925842920040404,1.0,0.1281,0,11.0,0,0,4,0,0,28,0.5,9.5,heat,8,threshold,1,4,1.0,0,1.0
0.38216603355939505,0.0,0.0,0.38216603355939505,0.6,0.0,0.982166033559395,39.77044920715849,0.009017051352764831,0.0,0.0780033259005335,0.0203942197929961,0.0017947972968207254,0.9903846153846154,0.12484326923076924,0,10.0,0,0,4,0,0,28,0.5,8.5,heat,9,threshold,1,4,1.0,0,1.0
0.000960310985519186,0.0,0.0,0.000960310985519186,0.54,0.0,0.5409603109855192,39.20384124394208,0.008222169699603777,0.0,0.07089247186777581,0.05364634932977035,0.001492488134301436,1.0,0.12759038461538463,0,9.0,0,0,4,0,0,28,0.25,8.75,heat,10,threshold,1,4,1.0,0,1.0
0.186725398464187,0.0,0.0,0.186725398464187,0.42,0.0,0.6067253984641869,39.413410619974364,0.007531528163825534,0.0,0.07644499579111105,0.03399536949730441,0.0016149580960254483,1.0,0.12716634615384617,0,7.0,0,0,6,0,0,30,0.75,6.25,heat,11,threshold,1,4,1.0,0,1.0
0.0355046002625663,0.0,0.0,0.0355046002625663,0.6599999999999999,0.0,0.6955046002625662,39.34201840105027,0.008152612018400392,0.0,0.07840446687524395,0.035532301715673335,0.0019187568194305158,0.9903846153846154,0.12553653846153845,0,11.0,0,0,4,0,0,28,0.0,10.75,heat,12,threshold,1,4,1.0,0,1.0
0.1522324094282279,0.0,0.0,0.1522324094282279,0.6599999999999999,0.0,0.8122324094282278,39.53103210480325,0.007689463052699092,0.0,0.0804464810460795,0.050124553239362976,0.001621032847503752,1.0,0.12734134615384615,0,11.0,0,0,4,0,0,28,0.5,10.5,heat,13,threshold,1,4,1.0,0,1.0
0.24854924028571546,0.0,0.0,0.24854924028571546,0.6,0.0,0.8485492402857154,39.60054473371884,0.00853652812150675,0.0,0.07212244863422153,0.028407579881989983,0.0014797959063382149,1.0,0.1254721153846154,0,10.0,0,0,4,0,0,28,1.0,9.25,heat,14,threshold,1,4,1.0,0,1.0
0.1976720748357632,0.0,0.0,0.1976720748357632,0.54,0.0,0.7376720748357632,39.49830782600188,0.008012333230779316,0.0,0.08757582387952043,0.036215454740803975,0.0013958204430512544,0.9903846153846154,0.1319326923076923,0,9.0,0,0,6,0,0,30,0.25,8.75,heat,15,threshold,1,4,1.0,0,1.0
