heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,scenario,seed,agent,days,decide_every,sensor_noise_mult
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.031645412595594,0.007181583591983546,0.0,0.12571597352335373,0.022998867027202535,0.0016513739982336045,0.9326923076923077,0.13414134615384615,0,0.0,0,0,0,0,0,24,,0.0,normal,0,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.010694066989416,0.008475830122196094,0.0,0.17795058061541436,0.03324893397021246,0.0014661610417701862,0.8653846153846154,0.1389375,0,0.0,0,0,0,0,0,24,,0.0,normal,1,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99294830393459,0.00774656219749602,0.0,0.1365060228633326,0.030832284938401067,0.0014861451274699536,0.9519230769230769,0.1333019230769231,0,0.0,0,0,0,0,0,24,,0.0,normal,2,shadow_only,1,4,1.0
0.042909227686468654,0.0,0.0,0.042909227686468654,0.0,0.0,0.042909227686468654,39.2740089861662,0.006850542394034221,0.0,0.13014800335726165,0.019689236325808733,0.0018678127305110045,0.9711538461538461,0.13475,0,0.0,0,0,0,0,0,24,,0.0,normal,3,shadow_only,1,4,1.0
0.23385043252318916,0.0,0.0,0.23385043252318916,0.0,0.0,0.23385043252318916,39.345758125574186,0.00701182682913739,0.0,0.11231687118245436,0.022055554614945835,0.001326742055892828,0.9807692307692307,0.13323942307692307,0,0.0,0,0,0,0,0,24,,0.0,normal,4,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.967436950735205,0.008233461578302964,0.0,0.20100051851616788,0.02449904708406753,0.0017362553057959811,0.7884615384615384,0.13963365384615384,0,0.0,0,0,0,0,0,24,,0.0,normal,5,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.03895324323113,0.007264815518985668,0.0,0.13631936311486026,0.01963852153114259,0.001264234748719236,0.9423076923076923,0.13516346153846154,0,0.0,0,0,0,0,0,24,,0.0,normal,6,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.153635126771654,0.006795886847116058,0.0,0.12362742802270538,0.0249831190827838,0.0013022763978521026,0.9615384615384616,0.13317596153846153,0,0.0,0,0,0,0,0,24,,0.0,normal,7,shadow_only,1,4,1.0
0.047267596579255056,0.0,0.0,0.047267596579255056,0.0,0.0,0.047267596579255056,39.31062874236079,0.010238914649952061,0.0,0.11547124356047775,0.029514173642308215,0.0018153164946918853,0.9519230769230769,0.13282980769230768,0,0.0,0,0,0,0,0,24,,0.0,normal,8,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.09038936988452,0.006610707617991484,0.0,0.1451651335714096,0.019513350898079238,0.0017719467148824305,0.9326923076923077,0.13445576923076924,0,0.0,0,0,0,0,0,24,,0.0,normal,9,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.019196338509104,0.008274137945651107,0.0,0.14497568799490274,0.04152644071179045,0.00125794018024157,0.9423076923076923,0.13848365384615385,0,0.0,0,0,0,0,0,24,,0.0,normal,10,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.98495479465587,0.006191750785659601,0.0,0.12837490145689362,0.024868670133869022,0.0012224716456479738,0.9615384615384616,0.13668942307692308,0,0.0,0,0,0,0,0,24,,0.0,normal,11,shadow_only,1,4,1.0
0.010011739471931236,0.0,0.0,0.010011739471931236,0.0,0.0,0.010011739471931236,39.22029542367089,0.007194190948557863,0.0,0.11558359917710181,0.02181134638150979,0.0013222885342331191,0.9807692307692307,0.1308019230769231,0,0.0,0,0,0,0,0,24,,0.0,normal,12,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.14791011515336,0.007312636870702212,0.0,0.14033721701770727,0.02951454452220253,0.0017630178087135616,0.9326923076923077,0.13418461538461537,0,0.0,0,0,0,0,0,24,,0.0,normal,13,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.113409707050316,0.008636211120505274,0.0,0.1285918399955377,0.020721488433182163,0.0013793711992873576,0.9519230769230769,0.13515384615384615,0,0.0,0,0,0,0,0,24,,0.0,normal,14,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.97409179552174,0.007998686358840284,0.0,0.18100937234183934,0.03723180385594485,0.0011617264730355446,0.8557692307692307,0.13927692307692308,0,0.0,0,0,0,0,0,24,,0.0,normal,15,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.995638801987155,0.008401152409191254,0.0,0.1564563760575321,0.03356330397336143,0.0013140655743719431,0.875,0.13680480769230768,0,0.0,0,0,0,0,0,24,,0.0,normal,16,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.946268431747114,0.009283618862120287,0.0,0.15895347759609793,0.034896827815756475,0.0018131247423371641,0.9230769230769231,0.14178173076923078,0,0.0,0,0,0,0,0,24,,0.0,normal,17,shadow_only,1,4,1.0
0.039455735585086416,0.0,0.0,0.039455735585086416,0.0,0.0,0.039455735585086416,39.261356154739644,0.006891719725227974,0.0,0.11124608361504838,0.016933342309429007,0.0012040785493292328,0.9711538461538461,0.13284903846153845,0,0.0,0,0,0,0,0,24,,0.0,normal,18,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99219795491552,0.007770076127037378,0.0,0.14910233986656943,0.011020050616459788,0.0013897744733925707,0.9326923076923077,0.13508365384615384,0,0.0,0,0,0,0,0,24,,0.0,normal,19,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.958221191562714,0.007213371183922394,0.0,0.17218155823750564,0.023875539028084567,0.0014455137241040532,0.8942307692307693,0.13971923076923076,0,0.0,0,0,0,0,0,24,,0.0,normal,20,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.16340018151064,0.00763936358992051,0.0,0.12243611573154076,0.02238414542801084,0.0014469097970482524,0.9711538461538461,0.13472211538461537,0,0.0,0,0,0,0,0,24,,0.0,normal,21,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.95504672091797,0.006772902709981431,0.0,0.1896858303604062,0.03871042282702449,0.00212373686999641,0.8173076923076923,0.1413076923076923,0,0.0,0,0,0,0,0,24,,0.0,normal,22,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.10109248204493,0.006785094488016768,0.0,0.13182800754425889,0.01729125682592391,0.0011947327799108902,0.9807692307692307,0.13283461538461538,0,0.0,0,0,0,0,0,24,,0.0,normal,23,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.962760593154606,0.007904471048850732,0.0,0.11827342677341197,0.034245093726552225,0.0012585597804595143,0.9903846153846154,0.1358375,0,0.0,0,0,0,0,0,24,,0.0,normal,24,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99444533284284,0.0065900190020150295,0.0,0.1939894151170035,0.02966352018901304,0.0013835901440083912,0.8269230769230769,0.14585288461538462,0,0.0,0,0,0,0,0,24,,0.0,normal,25,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.96148996290698,0.007760366993288472,0.0,0.1408213633637226,0.0376146407857595,0.001790427217624757,0.9134615384615384,0.13658365384615384,0,0.0,0,0,0,0,0,24,,0.0,normal,26,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.04157123468032,0.00721273612465026,0.0,0.13910318504920427,0.024152938048748716,0.0017880030221182723,0.9519230769230769,0.13457115384615384,0,0.0,0,0,0,0,0,24,,0.0,normal,27,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.95195283953136,0.007328210666688658,0.0,0.15054390906875267,0.027911452519122602,0.0016771215613515648,0.9423076923076923,0.1377673076923077,0,0.0,0,0,0,0,0,24,,0.0,normal,28,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.983556563137554,0.00791532072742658,0.0,0.1485174081851467,0.027114507714841737,0.0014802858403737892,0.9230769230769231,0.13627692307692307,0,0.0,0,0,0,0,0,24,,0.0,normal,29,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.96907982246385,0.007499360620114417,0.0,0.1267158954494416,0.024674330276027397,0.0014293929981743455,0.9711538461538461,0.13941923076923077,0,0.0,0,0,0,0,0,24,,0.0,normal,30,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.97876579832443,0.006728192812695759,0.0,0.12963820068365908,0.025112287482272268,0.0013842206118312452,0.9903846153846154,0.1351028846153846,0,0.0,0,0,0,0,0,24,,0.0,normal,31,shadow_only,1,4,1.0
0.368007448469271,0.0,0.0,0.368007448469271,0.0,0.0,0.368007448469271,39.39168265273762,0.0070978726142657475,0.0,0.10633026272688297,0.00996888833773885,0.0016376675261248357,1.0,0.13068076923076924,0,0.0,0,0,0,0,0,24,,0.0,normal,32,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.136565121857444,0.008143571200270386,0.0,0.11208050440169422,0.021275384767174037,0.0019981216383153284,0.9903846153846154,0.13071153846153846,0,0.0,0,0,0,0,0,24,,0.0,normal,33,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.044651415064294,0.006986963536506907,0.0,0.12689903855696893,0.03525289040613089,0.0013668645010102918,0.9711538461538461,0.1362846153846154,0,0.0,0,0,0,0,0,24,,0.0,normal,34,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.070367799426414,0.00817384774992671,0.0,0.16315833474620167,0.022971170787431452,0.0014344449255023002,0.8653846153846154,0.13662211538461538,0,0.0,0,0,0,0,0,24,,0.0,normal,35,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9775996011552,0.007786187546723089,0.0,0.1519896094627696,0.033453833983009704,0.001451365373595553,0.9326923076923077,0.13617211538461538,0,0.0,0,0,0,0,0,24,,0.0,normal,36,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13694120685642,0.007799182287257935,0.0,0.1307103883569718,0.02321368844369714,0.001597144859905837,0.9615384615384616,0.1362048076923077,0,0.0,0,0,0,0,0,24,,0.0,normal,37,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.160521816971226,0.007614172136981205,0.0,0.10888007249114884,0.03041985462294396,0.001535305151756808,0.9807692307692307,0.13399134615384617,0,0.0,0,0,0,0,0,24,,0.0,normal,38,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.00371439576296,0.007872544927889689,0.0,0.16304869625394627,0.029630715227439167,0.0015503170367773813,0.8942307692307693,0.13643461538461538,0,0.0,0,0,0,0,0,24,,0.0,normal,39,shadow_only,1,4,1.0
0.2709108917585663,0.0,0.0,0.2709108917585663,0.0,0.0,0.2709108917585663,39.37040534650793,0.008008822315960996,0.0,0.10953049429242731,0.0213758237605272,0.0012516282011972998,0.9807692307692307,0.1335778846153846,0,0.0,0,0,0,0,0,24,,0.0,normal,40,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.98376319968014,0.007313170481389034,0.0,0.16919127172321316,0.03204179675650332,0.0013663360999425665,0.8653846153846154,0.13832115384615384,0,0.0,0,0,0,0,0,24,,0.0,normal,41,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.08406619531756,0.007236566310175616,0.0,0.13886822845248284,0.015716570786080634,0.0015810479928787043,0.9326923076923077,0.1345451923076923,0,0.0,0,0,0,0,0,24,,0.0,normal,42,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.978087197993645,0.007012765669245659,0.0,0.15631055338909186,0.029972823807385546,0.001443756550847466,0.9038461538461539,0.13802788461538462,0,0.0,0,0,0,0,0,24,,0.0,normal,43,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.06408030531235,0.00693616718868916,0.0,0.11649273641897032,0.021767572095324813,0.0017715608904859104,0.9903846153846154,0.13469038461538463,0,0.0,0,0,0,0,0,24,,0.0,normal,44,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.05213945601935,0.00770027091240503,0.0,0.12791505522539243,0.03268672357310932,0.0014317965209367251,0.9807692307692307,0.13533076923076923,0,0.0,0,0,0,0,0,24,,0.0,normal,45,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.013794480132326,0.008073017400813792,0.0,0.16090013756863575,0.025261754688733127,0.001953882113995747,0.9230769230769231,0.13451153846153846,0,0.0,0,0,0,0,0,24,,0.0,normal,46,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.015552946643986,0.0076608312727376405,0.0,0.11804044155294867,0.019252468129929243,0.00141679739092923,0.9711538461538461,0.13155192307692307,0,0.0,0,0,0,0,0,24,,0.0,normal,47,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.09436152963929,0.008439218387547357,0.0,0.10076980521232787,0.0276852404642469,0.0016531038260644841,0.9903846153846154,0.13226538461538462,0,0.0,0,0,0,0,0,24,,0.0,normal,48,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.1277400939325,0.009179900084042125,0.0,0.14122308199849318,0.02033028631384893,0.0014105763827019565,0.9326923076923077,0.13532596153846155,0,0.0,0,0,0,0,0,24,,0.0,normal,49,shadow_only,1,4,1.0
0.0,0.0,0.0,0.0,0.1,0.0,0.1,39.031645412595594,0.007181583591983546,0.0,0.12571597352335373,0.022998867027202535,0.0016513739982336045,0.9326923076923077,0.13414134615384615,0,0.0,0,1,1,0,0,25,,0.0,normal,0,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.010694066989416,0.008475830122196094,0.0,0.17795058061541436,0.03324893397021246,0.0014661610417701862,0.8653846153846154,0.1389375,0,0.0,0,0,0,0,0,24,,0.0,normal,1,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99294830393459,0.00774656219749602,0.0,0.1365060228633326,0.030832284938401067,0.0014861451274699536,0.9519230769230769,0.1333019230769231,0,0.0,0,0,0,0,0,24,,0.0,normal,2,threshold,1,4,1.0
0.042909227686468654,0.0,0.0,0.042909227686468654,0.1,0.0,0.14290922768646866,39.2740089861662,0.006850542394034221,0.0,0.13014800335726165,0.019689236325808733,0.0018678127305110045,0.9711538461538461,0.13475,0,0.0,0,1,1,0,0,25,5.0,0.0,normal,3,threshold,1,4,1.0
0.23385043252318916,0.0,0.0,0.23385043252318916,0.1,0.0,0.33385043252318913,39.345758125574186,0.00701182682913739,0.0,0.11231687118245436,0.022055554614945835,0.001326742055892828,0.9807692307692307,0.13323942307692307,0,0.0,0,1,1,0,0,25,6.25,0.0,normal,4,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.1,0.0,0.1,38.967436950735205,0.008233461578302964,0.0,0.20100051851616788,0.02449904708406753,0.0017362553057959811,0.7884615384615384,0.13963365384615384,0,0.0,0,1,1,0,0,25,,0.0,normal,5,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.03895324323113,0.007264815518985668,0.0,0.13631936311486026,0.01963852153114259,0.001264234748719236,0.9423076923076923,0.13516346153846154,0,0.0,0,0,0,0,0,24,,0.0,normal,6,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.153635126771654,0.006795886847116058,0.0,0.12362742802270538,0.0249831190827838,0.0013022763978521026,0.9615384615384616,0.13317596153846153,0,0.0,0,0,0,0,0,24,,0.0,normal,7,threshold,1,4,1.0
0.047267596579255056,0.0,0.0,0.047267596579255056,0.06,0.0,0.10726759657925505,39.31062874236079,0.010238914649952061,0.0,0.11663027697197623,0.03218695201699392,0.0017621702812607777,0.9519230769230769,0.13390865384615386,0,1.0,0,0,2,0,0,26,0.5,1.0,normal,8,threshold,1,4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.09038936988452,0.006610707617991484,0.0,0.1451651335714096,0.019513350898079238,0.0017719467148824305,0.9326923076923077,0.13445576923076924,0,0.0,0,0,0,0,0,24,,0.0,normal,9,threshold,1,4,1.0
