heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,scenario,seed,agent,days,decide_every,sensor_noise_mult,noise_mult
0.2318163359769354,0.0,0.0,0.2318163359769354,0.54,0.0,0.7718163359769354,39.42663657364319,0.00763341039631989,0.0,0.06693790733340466,0.02747397536082634,0.002550006228115595,1.0,0.1266307692307692,0,9.0,0,0,4,0,0,28,0.75,8.25,heat,0,threshold,1,4,0.5,0.5
0.47458607732920477,0.0,0.0,0.47458607732920477,0.54,0.0,1.0145860773292048,39.59862643690954,0.008143147711783599,0.0,0.06843790713291459,0.024020283700143395,0.0013910877332124936,1.0,0.12741826923076924,0,9.0,0,0,4,0,0,28,0.75,8.0,heat,1,threshold,1,4,0.5,0.5
0.2308760254322717,0.0,0.0,0.2308760254322717,0.6599999999999999,0.0,0.8908760254322716,39.51841197270164,0.00660377633121444,0.0,0.060806123945306045,0.03248849344383819,0.0012847328753011998,1.0,0.12654134615384616,0,11.0,0,0,3,1,0,27,0.75,10.75,heat,2,threshold,1,4,0.5,0.5
0.46920191413065204,0.0,0.0,0.46920191413065204,0.6,0.0,1.0692019141306521,39.647471645140264,0.007118082703799416,0.0,0.07403374632952389,0.016629336412549652,0.0019494896520482977,1.0,0.12501730769230768,0,10.0,0,0,4,0,0,28,0.5,9.25,heat,3,threshold,1,4,0.5,0.5
0.506884445423891,0.0,0.0,0.506884445423891,0.6599999999999999,0.0,1.166884445423891,39.83479143032395,0.008843690621570073,0.0,0.0712798892873478,0.020371915403089316,0.0014990117050595517,0.9903846153846154,0.12594423076923078,0,11.0,0,0,2,0,0,26,0.5,9.25,heat,4,threshold,1,4,0.5,0.5
0.230182204548548,0.0,0.0,0.230182204548548,0.48,0.0,0.710182204548548,39.56899869294715,0.007216018080012032,0.0,0.062125858262574066,0.020738494659512094,0.0016258096742935823,1.0,0.12740673076923076,0,8.0,0,0,4,0,0,28,0.25,7.5,heat,5,threshold,1,4,0.5,0.5
0.5283212681769669,0.0,0.0,0.5283212681769669,0.6,0.0,1.128321268176967,39.653490479588946,0.007272761602163448,0.0,0.053653289506599824,0.026895671384561563,0.0013453105635649056,1.0,0.12559423076923076,0,10.0,0,0,3,0,1,27,0.0,9.5,heat,6,threshold,1,4,0.5,0.5
0.08104735733096291,0.0,0.0,0.08104735733096291,0.6,0.0,0.6810473573309629,39.41564694250573,0.007001815011060816,0.0,0.05513351059765897,0.03617851735014209,0.0016584776646707284,1.0,0.12390576923076924,0,10.0,0,0,4,0,0,28,0.25,9.75,heat,7,threshold,1,4,0.5,0.5
0.15705446206356122,0.0,0.0,0.15705446206356122,0.6599999999999999,0.0,0.8170544620635611,39.49093583408517,0.010342283265567,0.0,0.05766001416037211,0.03577988472136692,0.001638755589818087,1.0,0.12528365384615384,0,11.0,0,0,2,0,0,26,0.25,9.5,heat,8,threshold,1,4,0.5,0.5
0.4464137074924057,0.0,0.0,0.4464137074924057,0.6,0.0,1.0464137074924058,39.6990167583441,0.006714333211511675,0.0,0.07225799929307442,0.014039880380258487,0.001422785512700881,0.9903846153846154,0.1260375,0,10.0,0,0,4,0,0,28,0.5,8.0,heat,9,threshold,1,4,0.5,0.5
0.05756447618129101,0.0,0.0,0.05756447618129101,0.54,0.0,0.597564476181291,39.318995731439685,0.008222169699603777,0.0,0.05520939760980294,0.04053700126619543,0.0013716743861972728,1.0,0.12707500000000002,0,9.0,0,0,2,0,0,26,0.25,8.75,heat,10,threshold,1,4,0.5,0.5
0.22866204279827862,0.0,0.0,0.22866204279827862,0.42,0.0,0.6486620427982785,39.55124890728135,0.0071096755688266015,0.0,0.06257846636818075,0.02854129641919276,0.0012969082691715664,1.0,0.1260423076923077,0,7.0,0,0,7,0,1,31,0.75,6.25,heat,11,threshold,1,4,0.5,0.5
0.13099531930618014,0.0,0.0,0.13099531930618014,0.6,0.0,0.7309953193061801,39.405031265123256,0.008152612018400392,0.0,0.05868940468202248,0.031093661320687156,0.0012159030711477825,1.0,0.12370961538461539,0,10.0,0,0,2,0,0,26,0.0,9.75,heat,12,threshold,1,4,0.5,0.5
0.10321532116148546,0.0,0.0,0.10321532116148546,0.6,0.0,0.7032153211614854,39.4330883830521,0.007422821923383064,0.0,0.06220283770399496,0.02623086296492459,0.0017456961411098544,1.0,0.1258971153846154,0,10.0,0,0,4,0,0,28,0.0,9.25,heat,13,threshold,1,4,0.5,0.5
0.5806361868547061,0.0,0.030924876362541417,0.5991911126722309,0.7599999999999999,0.0,1.3591911126722307,39.780438124271065,0.00853652812150675,0.0,0.07944565546423821,0.01958079328164649,0.0013055836051462757,0.9903846153846154,0.12714423076923076,0,11.0,0,1,5,0,0,29,1.0,10.0,heat,14,threshold,1,4,0.5,0.5
0.2053046524500104,0.0,0.0,0.2053046524500104,0.48,0.0,0.6853046524500104,39.480112992627554,0.008029110701434953,0.0,0.07053579170987288,0.03184569715645211,0.0012555427948368236,1.0,0.12883653846153847,0,8.0,0,0,4,0,0,28,0.25,7.5,heat,15,threshold,1,4,0.5,0.5
0.3430704525439836,0.0,0.0,0.3430704525439836,0.54,0.0,0.8830704525439836,39.60506089347513,0.007995535152694147,0.0,0.06470010027116331,0.02851160267154052,0.001212085798376979,1.0,0.1275096153846154,0,9.0,0,0,4,0,0,28,0.0,8.5,heat,16,threshold,1,4,0.5,0.5
0.02061563779646569,0.0,0.0,0.02061563779646569,0.42,0.0,0.4406156377964657,39.24757585947422,0.009244966805551763,0.0,0.06493721968879224,0.03319825786681873,0.0016978180310995973,1.0,0.12722692307692307,0,7.0,0,0,4,0,0,28,0.0,6.75,heat,17,threshold,1,4,0.5,0.5
0.1685751960427897,0.0,0.0,0.1685751960427897,0.6599999999999999,0.0,0.8285751960427896,39.44000357064588,0.007299677768774681,0.0,0.05307572249110132,0.030266273243129173,0.0012587617408516703,1.0,0.12365673076923077,0,11.0,0,0,2,0,0,26,0.25,10.25,heat,18,threshold,1,4,0.5,0.5
0.18505868465351227,0.0,0.0,0.18505868465351227,0.42,0.0,0.6050586846535122,39.498124670244124,0.007277204751368456,0.0,0.061922771373594886,0.022537443876687078,0.0011355298200202426,1.0,0.12646057692307694,0,7.0,0,0,5,0,1,29,0.5,6.5,heat,19,threshold,1,4,0.5,0.5
0.6277079023637455,0.0,0.0,0.6277079023637455,0.36,0.0,0.9877079023637455,39.726603660653616,0.007172341508453231,0.0,0.0681370804260466,0.02249970203910797,0.0012845679160827024,1.0,0.1272173076923077,0,6.0,0,0,5,0,1,29,0.5,5.25,heat,20,threshold,1,4,0.5,0.5
0.2880610900311549,0.0,0.0,0.2880610900311549,0.6,0.0,0.8880610900311549,39.67073040896713,0.008887846181208905,0.0,0.05721393073642624,0.02755335851040477,0.0014228026508037424,1.0,0.12556538461538463,0,10.0,0,0,2,0,0,26,0.5,9.5,heat,21,threshold,1,4,0.5,0.5
0.2128570038120312,0.0,0.0,0.2128570038120312,0.48,0.0,0.6928570038120312,39.45511295756569,0.007076632187306879,0.0,0.06656851211755774,0.02374096262141604,0.0014176142653725314,1.0,0.12691442307692308,0,8.0,0,0,4,0,0,28,0.0,7.5,heat,22,threshold,1,4,0.5,0.5
0.07333346601732416,0.0,0.0,0.07333346601732416,0.6599999999999999,0.0,0.7333334660173241,39.40113583165968,0.007824141593623693,0.0,0.05299307836194202,0.03378449034816032,0.00112979532309803,1.0,0.12431249999999999,0,11.0,0,0,2,0,0,26,0.0,10.75,heat,23,threshold,1,4,0.5,0.5
0.37807442767615385,0.0,0.0,0.37807442767615385,0.48,0.0,0.8580744276761538,39.53078324395838,0.007906620265356629,0.0,0.06461564580245831,0.02626342432900019,0.001307103331537221,1.0,0.1250846153846154,0,8.0,0,0,4,0,0,28,0.75,7.5,heat,24,threshold,1,4,0.5,0.5
0.09542750209874207,0.0,0.0,0.09542750209874207,0.3,0.0,0.39542750209874206,39.388388324349016,0.007215753800523876,0.0,0.06437118757750784,0.04031716418659219,0.0009717073465457156,1.0,0.1264346153846154,0,5.0,0,0,24,0,0,96,0.0,4.75,heat,0,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,0.72,0.0,0.72,39.043362617312965,0.008241288284721034,0.0,0.06877646054332458,0.031123316504873058,0.0012137753625789916,1.0,0.12822884615384614,0,12.0,0,0,24,0,0,95,,11.75,heat,1,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,0.6,0.12,0.72,39.00239750353047,0.006764319083247076,0.0,0.08263567934037724,0.04561200526253646,0.0011989488653711554,1.0,0.12930673076923077,1,10.0,0,0,24,1,0,97,,9.75,heat,2,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,0.78,0.12,0.9,39.067404496030605,0.0076929476752555645,0.0,0.0821129979601768,0.02099561339057699,0.0012540070566953072,0.9807692307692307,0.1270875,1,13.0,0,0,24,0,0,94,,12.75,heat,3,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,1.2,0.12,1.3199999999999998,39.013438599294616,0.007322757210413582,0.0,0.08544964753005291,0.012845153955419178,0.0010068246843565256,0.9903846153846154,0.12980384615384616,1,20.0,0,0,24,0,0,97,,19.0,heat,4,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,0.6,0.0,0.6,39.00098874768165,0.008387398206651608,0.0,0.06491952595897088,0.03655544442883168,0.0018855997085576528,1.0,0.12819038461538462,0,10.0,0,0,24,0,0,95,,9.75,heat,5,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,0.6599999999999999,0.0,0.6599999999999999,39.073753259056595,0.007272761602163448,0.0,0.05139514691620551,0.03692216329763704,0.001249377524071439,1.0,0.12644326923076923,0,11.0,0,0,24,0,1,94,,11.0,heat,6,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,0.72,0.0,0.72,39.062410540266264,0.007001815010869224,0.0,0.061463964357094475,0.04223669670574159,0.0013542350067069708,1.0,0.12608653846153844,0,12.0,0,0,24,0,0,95,,12.0,heat,7,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.8999999999999999,38.967225877082086,0.010342283265567,0.0,0.07784043911028894,0.034990900701781305,0.0017103668355658865,0.9903846153846154,0.12839038461538463,0,15.0,0,0,24,0,0,93,,13.25,heat,8,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,0.8999999999999999,0.12,1.02,39.005335601066015,0.006473061036270262,0.0,0.061714427506261126,0.021123556057959354,0.001305859323713312,1.0,0.12772980769230768,1,15.0,0,0,24,0,0,97,,14.5,heat,9,bounded_react,1,4,0.5,0.5
0.208832554930531,0.0,0.0,0.208832554930531,0.18,0.12,0.508832554930531,39.41316204089622,0.008332566744850974,0.0,0.06771141971492639,0.033358321139993215,0.0017732634349248446,1.0,0.1248076923076923,1,3.0,0,0,24,0,0,96,0.5,2.75,heat,10,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,0.78,0.0,0.78,38.986955160018326,0.0073939333169676155,0.0,0.07454903990404604,0.03328077798647525,0.0012124205877082344,1.0,0.1288394230769231,0,13.0,0,0,24,0,0,94,,12.75,heat,11,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,0.6599999999999999,0.0,0.6599999999999999,39.161289599606405,0.007345633298266044,0.0,0.06588863845286451,0.043523196280211174,0.0012632313699640029,1.0,0.1261923076923077,0,11.0,0,0,24,0,0,96,,10.75,heat,12,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,0.72,0.0,0.72,39.020756672452976,0.007676041917256106,0.0,0.061101461675700804,0.04114118027169869,0.0013442386242903516,1.0,0.12520480769230768,0,12.0,0,0,24,0,0,96,,12.0,heat,13,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,0.84,0.0,0.84,38.9633647205463,0.00853652812150675,0.0,0.06909173259346042,0.02989901696037977,0.0010665112219613777,1.0,0.12695673076923078,0,14.0,0,0,24,0,0,96,,13.75,heat,14,bounded_react,1,4,0.5,0.5
0.0,0.0,0.0,0.0,0.72,0.0,0.72,39.02412963005563,0.008012333230779316,0.0,0.07438002945098969,0.03915107169786068,0.0013000905785627126,1.0,0.13066346153846153,0,12.0,0,0,24,0,0,95,,12.0,heat,15,bounded_react,1,4,0.5,0.5
0.014028179273289254,0.0,0.0,0.014028179273289254,0.48,0.0,0.49402817927328924,39.25611271709316,0.008750785986543235,0.0,0.06995877772923849,0.05176881964079295,0.0014822407817590756,1.0,0.12791826923076924,0,8.0,0,0,24,0,0,96,0.0,7.75,heat,16,bounded_react,1,4,0.5,0.5
0.6151370512517254,0.0,0.025693705859999222,0.6305532747677249,0.0,0.0,0.6305532747677249,39.4913229399653,0.009244966805551763,0.0,0.07851208510848663,0.015123317986264873,0.0016218281450328068,1.0,0.12721057692307694,0,0.0,0,0,24,0,0,93,,0.0,heat,17,bounded_react,1,4,0.5,0.5
