heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,scenario,seed,agent,days,decide_every,sensor_noise_mult,verify_price
1.2719681849612314,0.0,2.3509490638756403,2.6825376232866156,1.21,0.0,3.8925376232866156,40.02433713157177,0.00954198034628983,0.019582501728677527,0.10420077847624032,0.02022316813362176,0.0015175917117089366,0.9903846153846154,0.13397788461538462,2,11.0,1,0,24,0,0,99,0.25,5.5,fever_hot,0,bounded_react,1,4,1.0,0.0
1.419754653222931,0.0,2.047188500551605,2.648067753553894,1.09,0.0,3.738067753553894,39.91912129087038,0.009356414563566007,0.0,0.10426146114312776,0.011832318954471788,0.0014904808620571804,0.9807692307692307,0.13336634615384615,0,9.0,1,0,24,0,0,95,0.0,3.75,fever_hot,1,bounded_react,1,4,1.0,0.0
3.363179297367571,0.0,7.562137604585111,7.900461860118638,1.51,0.0,9.410461860118637,39.890825835889714,0.007725641476290693,0.5537500000000002,0.15090995342374194,-0.025335456335844705,0.002090239553048266,0.9519230769230769,0.14160096153846152,1,16.0,1,0,24,1,0,96,0.75,4.25,fever_hot,2,bounded_react,1,4,1.0,0.0
1.633333771776078,0.0,3.796749853134385,3.911383683656709,1.27,0.0,5.181383683656708,39.92469759782655,0.007686615501170348,0.17583357447684345,0.12708218347810982,0.004600938545599671,0.0018959665777369043,0.9807692307692307,0.1316423076923077,1,12.0,1,0,24,0,0,97,1.0,6.0,fever_hot,3,bounded_react,1,4,1.0,0.0
1.5469724167973062,0.0,3.1917934746789722,3.4620485016046896,1.57,0.0,5.03204850160469,39.86018069943298,0.007205822680066199,0.1495848292385188,0.10002011653634722,-0.0015888639975700268,0.0013645726912150978,0.9903846153846154,0.13907115384615384,1,17.0,1,0,24,1,0,96,0.75,11.25,fever_hot,4,bounded_react,1,4,1.0,0.0
1.0193307663061102,0.0,0.8783435233531196,1.5463368803179818,1.09,0.0,2.636336880317982,40.049018467269704,0.007756240601982135,0.0,0.09530172288236903,0.009467546841135616,0.0015738426035081965,0.9903846153846154,0.13502692307692307,1,9.0,1,0,24,0,0,94,0.0,3.75,fever_hot,5,bounded_react,1,4,1.0,0.0
1.22122337888133,0.0,1.5190355480426203,2.132644707706902,1.15,0.0,3.282644707706902,39.86393791738814,0.008273753782254834,0.0,0.08918302944282842,0.009556453603666663,0.0014303324771856435,0.9903846153846154,0.13313365384615386,1,10.0,1,0,24,0,1,97,0.25,4.75,fever_hot,6,bounded_react,1,4,1.0,0.0
1.3223541451022456,0.0,2.1598476572366936,2.618262739444262,1.21,0.0,3.828262739444262,40.018463703290664,0.008968892523787849,0.06854477980623526,0.08051398009517385,0.015911261215138552,0.0016570706743472719,0.9903846153846154,0.13074038461538462,0,11.0,1,0,24,0,0,95,0.5,5.75,fever_hot,7,bounded_react,1,4,1.0,0.0
1.5330911908310227,0.0,2.8890247162868827,3.2665060206031526,1.3900000000000001,0.0,4.656506020603153,40.00678487834009,0.010255427147041427,0.0,0.11898710301214406,-0.0021339400015990126,0.0021913993891185574,0.9711538461538461,0.13327980769230768,1,14.0,1,0,24,0,0,97,0.5,8.0,fever_hot,8,bounded_react,1,4,1.0,0.0
1.1937010482319153,0.0,1.4533908846383128,2.065735579014903,1.21,0.0,3.2757355790149028,39.87492150257274,0.007664125096799358,0.0,0.09828455289738834,0.012049217371954276,0.0018409472210296966,0.9903846153846154,0.13302115384615384,2,11.0,1,0,24,0,0,98,0.25,5.75,fever_hot,9,bounded_react,1,4,1.0,0.0
